year,oshpd_id,facility_name,county_name,er_service_level_desc,type,count
2012,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,2595
2012,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,13727
2013,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,2579
2013,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,13538
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,2214
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,14027
2015,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,1907
2015,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,15611
2016,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,1848
2016,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,15111
2017,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,1949
2017,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,14963
2018,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,1984
2018,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,15015
2019,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,2107
2019,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,13804
2020,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,1758
2020,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,10357
2021,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,1904
2021,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,11185
2022,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,2116
2022,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,13579
2023,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,15019
2023,106010735,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,2387
2012,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,7842
2012,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,32673
2013,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,7901
2013,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,33495
2014,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,7523
2014,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,36755
2015,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,8528
2015,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,37936
2016,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,8787
2016,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,38295
2017,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,8696
2017,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,37906
2018,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,8882
2018,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,36395
2019,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,8738
2019,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,34894
2020,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,7871
2020,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,26682
2021,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,8095
2021,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,28307
2022,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,7612
2022,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,29336
2023,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,30794
2023,106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,8382
2012,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,6047
2012,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,35342
2013,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,5933
2013,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,36972
2014,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,5349
2014,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,39844
2015,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,5890
2015,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,40430
2016,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,5930
2016,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,39406
2017,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,5687
2017,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,37974
2018,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,5345
2018,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,35522
2019,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Admit,5180
2019,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,BASIC,ED_Visit,34152
