year,oshpd_id,facility_name,county_name,er_service_level_desc,ed_admit,ed_visit,burden_score,facility_id,burden_lag_1,burden_lag_2,burden_lag_3,rolling_mean_3,rolling_mean_7,rolling_std_7,pct_change_recent,ed_visits_per_year,month,is_post_covid,year_index,high_burden_next
2015,106580996,ADVENTIST HEALTH AND RIDEOUT,YUBA,BASIC,7543.0,52146.0,0.7230579586154493,adventist-health-and-rideout,0.6352582617268475,0.6252608546743078,0.5702404508123413,0.6611923583388682,0.6384543814572365,0.06323287629151753,0.13821102719692682,52146.0,1,0,3,0
2016,106580996,ADVENTIST HEALTH AND RIDEOUT,YUBA,BASIC,8021.0,58653.0,0.8132842106138908,adventist-health-and-rideout,0.7230579586154493,0.6352582617268475,0.6252608546743078,0.7238668103187291,0.6734203472885674,0.095456227223072,0.1247842595788747,58653.0,1,0,4,1
2017,106580996,ADVENTIST HEALTH AND RIDEOUT,YUBA,BASIC,8100.0,61857.0,0.8577109681677568,adventist-health-and-rideout,0.8132842106138908,0.7230579586154493,0.6352582617268475,0.798017712465699,0.7041354507684323,0.11379814824153799,0.05462636182292464,61857.0,1,0,5,0
2018,106580996,ADVENTIST HEALTH AND RIDEOUT,YUBA,BASIC,8750.0,60709.0,0.841792766647208,adventist-health-and-rideout,0.8577109681677568,0.8132842106138908,0.7230579586154493,0.8375959818096185,0.7238007816082573,0.11618415889704721,-0.018558934316245567,60709.0,1,0,6,0
2019,106580996,ADVENTIST HEALTH AND RIDEOUT,YUBA,BASIC,9178.0,61386.0,0.8511800684149881,adventist-health-and-rideout,0.841792766647208,0.8577109681677568,0.8132842106138908,0.8502279344099843,0.7639350126943497,0.10194930492718997,0.011151559076907822,61386.0,1,0,7,0
2020,106580996,ADVENTIST HEALTH AND RIDEOUT,YUBA,BASIC,8500.0,52468.0,0.7275228200175544,adventist-health-and-rideout,0.8511800684149881,0.841792766647208,0.8577109681677568,0.8068318850265834,0.778543864886242,0.08462009255808728,-0.14527742481999148,52468.0,1,1,8,0
2021,106580996,ADVENTIST HEALTH AND RIDEOUT,YUBA,BASIC,9324.0,55341.0,0.7673599219065236,adventist-health-and-rideout,0.7275228200175544,0.8511800684149881,0.841792766647208,0.7820209367796886,0.7974155306261957,0.057828335788570266,0.0547571853320119,55341.0,1,1,9,1
2022,106580996,ADVENTIST HEALTH AND RIDEOUT,YUBA,BASIC,7840.0,63625.0,0.8822261077917378,adventist-health-and-rideout,0.7673599219065236,0.7275228200175544,0.8511800684149881,0.7923696165719386,0.8201538376513798,0.05493825285365389,0.14969010317847528,63625.0,1,1,10,0
2023,106580996,ADVENTIST HEALTH AND RIDEOUT,YUBA,BASIC,8270.0,60131.0,0.8337782017701373,adventist-health-and-rideout,0.8822261077917378,0.7673599219065236,0.7275228200175544,0.827788077156133,0.8230815506737008,0.055057092726385495,-0.05491552062868374,60131.0,1,1,11,1
2024,106580996,ADVENTIST HEALTH AND RIDEOUT,YUBA,BASIC,8579.0,63598.0,0.8818517250033625,adventist-health-and-rideout,0.8337782017701373,0.8822261077917378,0.7673599219065236,0.8659520115217458,0.8265302302216445,0.058251157151998884,0.05765744790540653,63598.0,1,1,12,0
2015,106150788,ADVENTIST HEALTH BAKERSFIELD,KERN,BASIC,10937.0,65202.0,0.9040928358386936,adventist-health-bakersfield,0.9395621385299514,0.84145998194643,0.8141161723658358,0.8950383187716917,0.8748077821702277,0.05728958112473247,-0.037750885478158414,65202.0,1,0,3,0
2016,106150788,ADVENTIST HEALTH BAKERSFIELD,KERN,BASIC,10778.0,64229.0,0.8906011894279847,adventist-health-bakersfield,0.9040928358386936,0.9395621385299514,0.84145998194643,0.9114187212655432,0.8779664636217792,0.05011445322107537,-0.014922855127143196,64229.0,1,0,4,1
2017,106150788,ADVENTIST HEALTH BAKERSFIELD,KERN,BASIC,10848.0,65167.0,0.9036075248167258,adventist-health-bakersfield,0.8906011894279847,0.9040928358386936,0.9395621385299514,0.8994338500278013,0.8822399738209369,0.04602981722592123,0.014603995080104017,65167.0,1,0,5,0
2018,106150788,ADVENTIST HEALTH BAKERSFIELD,KERN,BASIC,10508.0,62371.0,0.8648381071760861,adventist-health-bakersfield,0.9036075248167258,0.8906011894279847,0.9040928358386936,0.8863489404735989,0.8797539928716726,0.04253093897980426,-0.04290515138029986,62371.0,1,0,6,0
2019,106150788,ADVENTIST HEALTH BAKERSFIELD,KERN,BASIC,10614.0,64881.0,0.8996418404657877,adventist-health-bakersfield,0.8648381071760861,0.9036075248167258,0.8906011894279847,0.8893624908195332,0.8919719454573799,0.03134628916497976,0.040243061679306066,64881.0,1,0,7,0
2020,106150788,ADVENTIST HEALTH BAKERSFIELD,KERN,BASIC,9980.0,52741.0,0.7313082459889044,adventist-health-bakersfield,0.8996418404657877,0.8648381071760861,0.9036075248167258,0.8319293978769261,0.8762359831777333,0.06760616512023515,-0.18711178927575098,52741.0,1,1,8,0
2021,106150788,ADVENTIST HEALTH BAKERSFIELD,KERN,BASIC,11198.0,50802.0,0.70442201537188,adventist-health-bakersfield,0.7313082459889044,0.8996418404657877,0.8648381071760861,0.7784573672755241,0.8426445370122945,0.08663592611871578,-0.03676456646631654,50802.0,1,1,9,0
2022,106150788,ADVENTIST HEALTH BAKERSFIELD,KERN,BASIC,10870.0,53624.0,0.7435519497716958,adventist-health-bakersfield,0.70442201537188,0.7313082459889044,0.8996418404657877,0.7264274037108267,0.8197101247170091,0.08887841762088221,0.05554899413408916,53624.0,1,1,10,0
2023,106150788,ADVENTIST HEALTH BAKERSFIELD,KERN,BASIC,10416.0,53560.0,0.7426645239029545,adventist-health-bakersfield,0.7435519497716958,0.70442201537188,0.7313082459889044,0.7302128296821767,0.7985763153562905,0.08677581745992384,-0.0011934954497985432,53560.0,1,1,11,0
2024,106150788,ADVENTIST HEALTH BAKERSFIELD,KERN,BASIC,12044.0,61814.0,0.8571147289121962,adventist-health-bakersfield,0.7426645239029545,0.7435519497716958,0.70442201537188,0.7811104008622821,0.7919344873699293,0.0788105838101136,0.15410754294249446,61814.0,1,1,12,0
2015,106171049,ADVENTIST HEALTH CLEARLAKE,LAKE,STANDBY,1123.0,20252.0,0.280814823339855,adventist-health-clearlake,0.2633990906658051,0.2413937023268583,0.214854122439811,0.26186920544417286,0.25011543469308234,0.028509277651190396,0.06611918298589207,20252.0,1,0,3,0
2016,106171049,ADVENTIST HEALTH CLEARLAKE,LAKE,STANDBY,1189.0,20545.0,0.2848775698951867,adventist-health-clearlake,0.280814823339855,0.2633990906658051,0.2413937023268583,0.2763638279669489,0.2570678617335032,0.029176452712870612,0.01446770689314628,20545.0,1,0,4,1
2017,106171049,ADVENTIST HEALTH CLEARLAKE,LAKE,STANDBY,1125.0,21201.0,0.293973685049786,adventist-health-clearlake,0.2848775698951867,0.280814823339855,0.2633990906658051,0.2865553594282759,0.263218832286217,0.030133352730275693,0.03192990995376004,21201.0,1,0,5,1
2018,106171049,ADVENTIST HEALTH CLEARLAKE,LAKE,STANDBY,1190.0,21945.0,0.3042900107739047,adventist-health-clearlake,0.293973685049786,0.2848775698951867,0.280814823339855,0.29438042190629243,0.2690861434987438,0.031585753777484,0.03509268430734404,21945.0,1,0,6,1
2019,106171049,ADVENTIST HEALTH CLEARLAKE,LAKE,STANDBY,1150.0,21607.0,0.2996032929046142,adventist-health-clearlake,0.3042900107739047,0.293973685049786,0.2848775698951867,0.2992889962427683,0.28119316785085857,0.022173870054773386,-0.015402141717931342,21607.0,1,0,7,0
2020,106171049,ADVENTIST HEALTH CLEARLAKE,LAKE,STANDBY,1047.0,17068.0,0.2366653863699706,adventist-health-clearlake,0.2996032929046142,0.3042900107739047,0.293973685049786,0.2801862300161631,0.28051769414273175,0.023613608695470804,-0.21007081038552328,17068.0,1,1,8,0
2021,106171049,ADVENTIST HEALTH CLEARLAKE,LAKE,STANDBY,1101.0,17699.0,0.2454148507945928,adventist-health-clearlake,0.2366653863699706,0.2996032929046142,0.3042900107739047,0.26056117668972584,0.2779485170182729,0.026578730287527295,0.03696976798687614,17699.0,1,1,9,0
2022,106171049,ADVENTIST HEALTH CLEARLAKE,LAKE,STANDBY,931.0,19592.0,0.2716632440684594,adventist-health-clearlake,0.2454148507945928,0.2366653863699706,0.2996032929046142,0.2512478270776743,0.27664114855093064,0.02663925011501336,0.10695519520876895,19592.0,1,1,10,0
2023,106171049,ADVENTIST HEALTH CLEARLAKE,LAKE,STANDBY,1102.0,18871.0,0.2616658370159196,adventist-health-clearlake,0.2716632440684594,0.2454148507945928,0.2366653863699706,0.2595813106263239,0.2733251867110353,0.026886644697961298,-0.036800734993875026,18871.0,1,1,11,0
2024,106171049,ADVENTIST HEALTH CLEARLAKE,LAKE,STANDBY,1253.0,19423.0,0.2693198851338141,adventist-health-clearlake,0.2616658370159196,0.2716632440684594,0.2454148507945928,0.26754965540606435,0.26980321529446794,0.025298886527380812,0.029251232049175867,19423.0,1,1,12,0
2022,106150706,ADVENTIST HEALTH DELANO,KERN,BASIC,1293.0,28475.0,0.3948351814439251,adventist-health-delano,0.3083804893876345,0.286083914435507,0.3804006450476783,0.3297665284223555,0.34242505757868624,0.05329891606521383,0.2803507194244606,28475.0,1,1,10,1
2023,106150706,ADVENTIST HEALTH DELANO,KERN,BASIC,1257.0,28495.0,0.3951125020279067,adventist-health-delano,0.3948351814439251,0.3083804893876345,0.286083914435507,0.3661093909531554,0.3529625464685303,0.051824455624858906,0.0007023705004387913,28495.0,1,1,11,0
2024,106150706,ADVENTIST HEALTH DELANO,KERN,BASIC,1213.0,27222.0,0.3774610468574725,adventist-health-delano,0.3951125020279067,0.3948351814439251,0.3083804893876345,0.38913624344310144,0.35704562986668736,0.04741991966324078,-0.04467450429899959,27222.0,1,1,12,0
2015,106040875,ADVENTIST HEALTH FEATHER RIVER,BUTTE,BASIC,3082.0,24864.0,0.3447649500060317,adventist-health-feather-river,0.2867772158954612,0.2799551295295118,0.260417894388002,0.30383243181033487,0.29297879745475164,0.036286331424059994,0.20220481578183938,24864.0,1,0,3,1
2016,106040875,ADVENTIST HEALTH FEATHER RIVER,BUTTE,BASIC,3344.0,25555.0,0.3543463761825989,adventist-health-feather-river,0.3447649500060317,0.2867772158954612,0.2799551295295118,0.3286295140280306,0.3052523132003211,0.04172192864605193,0.02779118404118395,25555.0,1,0,4,1
