county_name,year,mean_burden_score
ALAMEDA,2012,0.586
ALAMEDA,2013,0.5834
ALAMEDA,2014,0.4861
ALAMEDA,2015,0.6037
ALAMEDA,2016,0.6126
ALAMEDA,2017,0.6113
ALAMEDA,2018,0.6045
ALAMEDA,2019,0.6028
ALAMEDA,2020,0.5006
ALAMEDA,2021,0.5302
ALAMEDA,2022,0.6077
ALAMEDA,2023,0.647
ALAMEDA,2024,0.6722
AMADOR,2012,0.2332
AMADOR,2013,0.2454
AMADOR,2014,0.2609
AMADOR,2015,0.2832
AMADOR,2016,0.3051
AMADOR,2017,0.3049
AMADOR,2018,0.2885
AMADOR,2019,0.298
AMADOR,2020,0.2722
AMADOR,2021,0.3073
AMADOR,2022,0.3466
AMADOR,2023,0.3455
AMADOR,2024,0.3464
BUTTE,2012,0.2852
BUTTE,2013,0.3038
BUTTE,2014,0.3084
BUTTE,2015,0.3521
BUTTE,2016,0.3653
BUTTE,2017,0.3646
BUTTE,2018,0.351
BUTTE,2019,0.3802
BUTTE,2020,0.3083
BUTTE,2021,0.3183
BUTTE,2022,0.3514
BUTTE,2023,0.1482
BUTTE,2024,0.1549
CALAVERAS,2012,0.1061
CALAVERAS,2013,0.119
CALAVERAS,2014,0.1351
CALAVERAS,2015,0.1563
CALAVERAS,2016,0.1729
CALAVERAS,2017,0.1691
CALAVERAS,2018,0.1505
CALAVERAS,2019,0.1407
CALAVERAS,2020,0.1296
CALAVERAS,2021,0.1377
CALAVERAS,2022,0.1413
CALAVERAS,2023,0.1386
CALAVERAS,2024,0.1461
COLUSA,2012,0.0738
COLUSA,2013,0.078
COLUSA,2014,0.09
COLUSA,2015,0.0958
COLUSA,2016,0.0294
COLUSA,2017,
COLUSA,2018,0.0875
COLUSA,2019,0.0855
COLUSA,2020,0.061
COLUSA,2021,0.0604
COLUSA,2022,0.0712
COLUSA,2023,0.0664
COLUSA,2024,0.0712
CONTRA COSTA,2012,0.544
CONTRA COSTA,2013,0.541
CONTRA COSTA,2014,0.5497
CONTRA COSTA,2015,0.5529
CONTRA COSTA,2016,0.6278
CONTRA COSTA,2017,0.6282
CONTRA COSTA,2018,0.6192
CONTRA COSTA,2019,0.6303
CONTRA COSTA,2020,0.4861
CONTRA COSTA,2021,0.5646
CONTRA COSTA,2022,0.6528
CONTRA COSTA,2023,0.6763
CONTRA COSTA,2024,0.7085
DEL NORTE,2012,0.274
DEL NORTE,2013,0.2587
DEL NORTE,2014,0.2478
DEL NORTE,2015,0.267
DEL NORTE,2016,0.2732
DEL NORTE,2017,0.2576
DEL NORTE,2018,0.2404
DEL NORTE,2019,0.2423
