facility_name,mean_burden,ci_lower,ci_upper,n_years
KAISER FOUNDATION HOSPITAL - FONTANA,1.8107,1.7193,1.9021,13
LAC+USC MEDICAL CENTER,1.5661,1.4562,1.676,11
KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,1.5038,1.2799,1.7277,11
KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO,1.4572,1.3398,1.5745,13
ANTELOPE VALLEY HOSPITAL,1.4498,1.3578,1.5417,11
KAISER FOUNDATION HOSPITAL - ROSEVILLE,1.4304,1.2706,1.5902,13
KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM,1.4105,1.2894,1.5315,12
KAISER FOUNDATION HOSPITAL - SAN DIEGO - ZION,1.4023,1.2952,1.5094,13
ADVENTIST HEALTH HANFORD,1.3891,1.289,1.4891,13
SCRIPPS MERCY HOSPITAL,1.3304,1.2661,1.3947,13
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,1.3297,1.2471,1.4123,13
KAISER FOUNDATION HOSPITAL - SACRAMENTO,1.307,1.2106,1.4033,13
VALLEY CHILDREN'S HOSPITAL,1.2527,1.1178,1.3875,13
KAISER FOUNDATION HOSPITAL - DOWNEY,1.2416,1.1827,1.3005,13
RIVERSIDE COMMUNITY HOSPITAL,1.2061,1.098,1.3143,13
GROSSMONT HOSPITAL,1.1869,1.1098,1.2639,13
SOUTHWEST HEALTHCARE SYSTEM-MURRIETA,1.1663,1.0694,1.2632,12
KAISER FOUNDATION HOSPITAL - MANTECA,1.1593,0.9858,1.3327,13
"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL",1.1507,0.8679,1.4335,10
DOCTORS MEDICAL CENTER,1.1416,1.0751,1.2081,13
